a,b,m1a_probe_cv_auc,m1b_energy,m1b_energy_scalefree,m2_confusion_rate,m2_separability,same_base,adjacent_version,same_family,same_org,same_arch,same_tokenizer,near_relative,structurally_related,relation_inferred
Qwen/Qwen2-1.5B-Instruct,utter-project/EuroLLM-1.7B-Instruct,1.0,64.23723517506947,2.305047900071408,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-72B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,1.0,48.38891673814158,1.5288981194470783,0.022058823529411766,0.9779411764705882,False,True,True,True,True,True,True,True,False
Qwen/Qwen2-72B-Instruct,Qwen/Qwen2.5-3B-Instruct,1.0,49.56719775336893,1.8112971659010002,0.014705882352941176,0.9852941176470589,False,True,True,True,True,True,True,True,False
Qwen/Qwen2-72B-Instruct,abacusai/Smaug-Llama-3-70B-Instruct,1.0,53.582016777359264,1.6896458492162865,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-72B-Instruct,claude-3-5-sonnet-20240620,1.0,60.91146946707655,2.2795808219961677,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-72B-Instruct,claude-3-haiku-20240307,1.0,65.74418706017741,2.502915220612746,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-72B-Instruct,claude-3-opus-20240229,1.0,65.49019854333254,2.307565675007582,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-72B-Instruct,google/gemma-1.1-2b-it,1.0,67.76340653140032,2.401118023795214,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-72B-Instruct,google/gemma-1.1-7b-it,1.0,66.98322757144068,2.540994172844486,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-72B-Instruct,google/gemma-2-27b-it,1.0,60.329658609140154,2.1825163412771817,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-72B-Instruct,google/gemma-2-9b-it,1.0,64.43099797138223,2.1534496410049977,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-72B-Instruct,google/gemma-2b-it,1.0,68.61788289739852,2.3955681320502986,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-72B-Instruct,google/gemma-7b-it,1.0,64.89453912390545,2.439904522723519,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-72B-Instruct,gpt-3.5-turbo,1.0,55.2882224403492,1.8087502891200036,0.007352941176470588,0.9926470588235294,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-72B-Instruct,gpt-4o-2024-05-13,1.0,51.63335307010213,1.7441739253098891,0.014705882352941176,0.9852941176470589,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-72B-Instruct,gradientai/Llama-3-8B-Instruct-Gradient-1048k,1.0,71.51310093080008,2.5986567492747468,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-72B-Instruct,ibm-granite/granite-3.0-8b-instruct,1.0,57.41719479673594,1.8095020538661553,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-72B-Instruct,ibm-granite/granite-3.1-8b-instruct,1.0,45.014127659656864,1.467687975798645,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-72B-Instruct,internlm/internlm2_5-7b-chat,1.0,63.75824719439895,2.1902532615217503,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-72B-Instruct,meta-llama/Llama-2-7b-chat-hf,1.0,62.930640677312525,2.2158241383843342,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-72B-Instruct,meta-llama/Llama-3.2-1B-Instruct,1.0,54.81940018051818,1.7596052518726315,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-72B-Instruct,meta-llama/Llama-3.2-3B-Instruct,1.0,56.95427741819813,1.8099139649125622,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-72B-Instruct,meta-llama/Meta-Llama-3-70B-Instruct,1.0,49.2694214097925,1.5357048721981335,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-72B-Instruct,meta-llama/Meta-Llama-3-8B-Instruct,1.0,60.87563161908575,1.9942174688276617,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-72B-Instruct,meta-llama/Meta-Llama-3.1-70B-Instruct,1.0,67.04664173940967,2.3402335530013056,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-72B-Instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,1.0,58.93673838393859,1.9609939519255624,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-72B-Instruct,microsoft/Phi-3-medium-128k-instruct,1.0,66.31204895793817,2.4080105518144075,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-72B-Instruct,microsoft/Phi-3-medium-4k-instruct,1.0,65.37881819447144,2.373821722077367,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-72B-Instruct,microsoft/Phi-3-mini-128k-instruct,1.0,55.13221440381545,1.7749583805421176,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-72B-Instruct,microsoft/Phi-3-mini-4k-instruct,1.0,54.80701685217389,1.7872724565027427,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-72B-Instruct,microsoft/Phi-3.5-MoE-instruct,1.0,52.19044976591542,1.8299472394519656,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-72B-Instruct,microsoft/Phi-3.5-mini-instruct,1.0,61.95809032525186,2.1596972324180093,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-72B-Instruct,mistralai/Mistral-7B-Instruct-v0.1,1.0,57.24688443494384,1.8899019373143553,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-72B-Instruct,mistralai/Mistral-7B-Instruct-v0.2,1.0,49.958997112433785,1.6023446737923688,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-72B-Instruct,mistralai/Mistral-7B-Instruct-v0.3,1.0,55.266648730179355,1.8571839770446716,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-72B-Instruct,mistralai/Mixtral-8x7B-Instruct-v0.1,1.0,47.80071786353002,1.5588778386342377,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-72B-Instruct,nvidia/Llama3-ChatQA-1.5-8B,1.0,53.54870912597387,1.7055899003616004,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-72B-Instruct,openchat/openchat-3.6-8b-20240522,1.0,49.205076249424394,1.56415707220415,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-72B-Instruct,openchat/openchat_3.5,1.0,60.44555736941565,2.0602104497278626,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-72B-Instruct,tiiuae/Falcon3-10B-Instruct,1.0,53.578119341696514,1.6993488632648786,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-72B-Instruct,tiiuae/Falcon3-7B-Instruct,1.0,63.39703874398759,2.115555044835839,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-72B-Instruct,togethercomputer/Llama-2-7B-32K-Instruct,1.0,70.24865968926926,2.5281180080171874,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-72B-Instruct,upstage/SOLAR-10.7B-Instruct-v1.0,1.0,67.37354126223174,2.4677139682947344,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-72B-Instruct,utter-project/EuroLLM-1.7B-Instruct,1.0,60.29688641235981,2.1445934055125484,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-7B-Instruct,Qwen/Qwen2.5-3B-Instruct,1.0,51.713088845769946,1.8469815672824736,0.0,1.0,False,True,True,True,True,True,True,True,False
Qwen/Qwen2-7B-Instruct,abacusai/Smaug-Llama-3-70B-Instruct,1.0,53.24765715763858,1.64623546208917,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-7B-Instruct,claude-3-5-sonnet-20240620,1.0,66.29896935669359,2.4237755764588287,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-7B-Instruct,claude-3-haiku-20240307,1.0,66.73240795890914,2.480743143165107,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-7B-Instruct,claude-3-opus-20240229,1.0,60.964268076707285,2.101218675611636,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-7B-Instruct,google/gemma-1.1-2b-it,1.0,63.16593191923019,2.1891015475946065,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-7B-Instruct,google/gemma-1.1-7b-it,1.0,67.1720351567513,2.488391873959955,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-7B-Instruct,google/gemma-2-27b-it,1.0,63.18458425123333,2.2346155355912116,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-7B-Instruct,google/gemma-2-9b-it,1.0,68.52282182918852,2.242750954071907,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-7B-Instruct,google/gemma-2b-it,1.0,65.32291475313176,2.2312176053715915,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-7B-Instruct,google/gemma-7b-it,1.0,66.85155886785913,2.4550442738915543,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-7B-Instruct,gradientai/Llama-3-8B-Instruct-Gradient-1048k,1.0,68.19313389972672,2.422286693400482,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-7B-Instruct,ibm-granite/granite-3.0-8b-instruct,1.0,55.066021290439224,1.70145593280955,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-7B-Instruct,ibm-granite/granite-3.1-8b-instruct,1.0,48.02365726136442,1.5341444813758593,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-7B-Instruct,internlm/internlm2_5-7b-chat,1.0,53.32508744464664,1.7928550368839005,0.007352941176470588,0.9926470588235294,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-7B-Instruct,meta-llama/Llama-2-7b-chat-hf,1.0,59.23406291978276,2.040184427194864,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-7B-Instruct,meta-llama/Llama-3.2-1B-Instruct,1.0,57.355252609544586,1.804333707246168,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-7B-Instruct,meta-llama/Llama-3.2-3B-Instruct,1.0,58.71258015457062,1.828991345708666,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-7B-Instruct,meta-llama/Meta-Llama-3-70B-Instruct,1.0,48.616104672643345,1.486016027602154,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-7B-Instruct,meta-llama/Meta-Llama-3-8B-Instruct,1.0,58.73446559223551,1.8849800219607717,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-7B-Instruct,meta-llama/Meta-Llama-3.1-70B-Instruct,1.0,68.51610371980512,2.3398171290827054,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-7B-Instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,1.0,61.08940846003753,1.990684057181032,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-7B-Instruct,microsoft/Phi-3-medium-128k-instruct,1.0,67.73620055842656,2.4044460792693907,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-7B-Instruct,microsoft/Phi-3-medium-4k-instruct,1.0,68.02674215504972,2.414461093698284,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-7B-Instruct,microsoft/Phi-3-mini-128k-instruct,1.0,46.63227968451727,1.4713165296936987,0.007352941176470588,0.9926470588235294,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-7B-Instruct,microsoft/Phi-3-mini-4k-instruct,1.0,52.88081162844671,1.6895748418948537,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-7B-Instruct,microsoft/Phi-3.5-MoE-instruct,1.0,55.680986308866636,1.9099365811615332,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-7B-Instruct,microsoft/Phi-3.5-mini-instruct,1.0,59.21260585234073,2.019429974915062,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-7B-Instruct,mistralai/Mistral-7B-Instruct-v0.2,1.0,46.95413076362356,1.4759969974940492,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-7B-Instruct,mistralai/Mistral-7B-Instruct-v0.3,1.0,54.703157199843346,1.799953444640016,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-7B-Instruct,mistralai/Mixtral-8x7B-Instruct-v0.1,1.0,46.7331254826836,1.4932301439008222,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-7B-Instruct,nvidia/Llama3-ChatQA-1.5-8B,1.0,51.67451275358209,1.6133599536653942,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-7B-Instruct,openchat/openchat-3.6-8b-20240522,1.0,43.83511636463528,1.365962503078143,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-7B-Instruct,openchat/openchat_3.5,1.0,56.119524020007375,1.872359054986287,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-7B-Instruct,tiiuae/Falcon3-10B-Instruct,1.0,40.19868253099131,1.249891406929759,0.04411764705882353,0.9558823529411765,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-7B-Instruct,tiiuae/Falcon3-7B-Instruct,1.0,54.778631961038386,1.7901386177870828,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-7B-Instruct,togethercomputer/Llama-2-7B-32K-Instruct,1.0,69.79992921466113,2.4560090703414583,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-7B-Instruct,upstage/SOLAR-10.7B-Instruct-v1.0,1.0,54.79367631305334,1.961461366662512,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-7B-Instruct,utter-project/EuroLLM-1.7B-Instruct,1.0,59.081362264325534,2.055083309361015,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,1.0,51.0757709211813,1.8068603725082835,0.007352941176470588,0.9926470588235294,False,True,True,True,True,True,True,True,False
Qwen/Qwen2.5-0.5B-Instruct,abacusai/Smaug-Llama-3-70B-Instruct,1.0,50.811888851309,1.557973441038958,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-0.5B-Instruct,claude-3-5-sonnet-20240620,1.0,61.73861609171279,2.235077800746773,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-0.5B-Instruct,claude-3-haiku-20240307,1.0,59.63893586542312,2.1950971022636874,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-0.5B-Instruct,claude-3-opus-20240229,1.0,55.193011660789736,1.88482992185018,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-0.5B-Instruct,google/gemma-1.1-2b-it,1.0,56.33156313415378,1.9342161372661626,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-0.5B-Instruct,google/gemma-1.1-7b-it,1.0,70.72690114804529,2.5942314258368673,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-0.5B-Instruct,google/gemma-2-27b-it,1.0,62.072379356839036,2.1745935422540708,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-0.5B-Instruct,google/gemma-2-9b-it,1.0,61.35237609555254,1.9905377384184955,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-0.5B-Instruct,google/gemma-2b-it,1.0,63.73790580419091,2.157258525295053,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-0.5B-Instruct,google/gemma-7b-it,1.0,69.36859350152213,2.5225608748474846,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-0.5B-Instruct,gpt-3.5-turbo,1.0,50.3826417256918,1.6010146232726699,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-0.5B-Instruct,gpt-4-turbo-2024-04-09,1.0,55.99668580202429,1.9403815558132824,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-0.5B-Instruct,gpt-4o-2024-05-13,1.0,51.23852335681437,1.679652048918405,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-0.5B-Instruct,gradientai/Llama-3-8B-Instruct-Gradient-1048k,1.0,65.41629736697459,2.301659060749348,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-0.5B-Instruct,ibm-granite/granite-3.0-8b-instruct,1.0,59.10843917037637,1.8113061357830806,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-0.5B-Instruct,ibm-granite/granite-3.1-8b-instruct,1.0,53.12407193322629,1.68262155123757,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-0.5B-Instruct,internlm/internlm2_5-7b-chat,1.0,59.661227012953276,1.9879058142844332,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-0.5B-Instruct,meta-llama/Llama-2-7b-chat-hf,1.0,64.87401943368428,2.2139287293358136,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-0.5B-Instruct,meta-llama/Llama-3.2-1B-Instruct,1.0,47.04011561287016,1.4674133977359545,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-0.5B-Instruct,meta-llama/Llama-3.2-3B-Instruct,1.0,48.81624237776569,1.5080677896378032,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-0.5B-Instruct,meta-llama/Meta-Llama-3-70B-Instruct,1.0,47.40617628739825,1.4372162021910424,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-0.5B-Instruct,meta-llama/Meta-Llama-3-8B-Instruct,1.0,51.28356801713703,1.6317699140233661,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-0.5B-Instruct,meta-llama/Meta-Llama-3.1-70B-Instruct,1.0,61.115821934746336,2.0681009715404017,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-0.5B-Instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,1.0,53.80442802569161,1.7380580705001325,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-0.5B-Instruct,microsoft/Phi-3-medium-128k-instruct,1.0,65.80415649807239,2.3137712824975996,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-0.5B-Instruct,microsoft/Phi-3-medium-4k-instruct,1.0,64.11377236286476,2.254058938330464,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-0.5B-Instruct,microsoft/Phi-3-mini-128k-instruct,1.0,52.49281575587105,1.6422869783979805,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-0.5B-Instruct,microsoft/Phi-3-mini-4k-instruct,1.0,48.82625541603616,1.5467360879782597,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-0.5B-Instruct,microsoft/Phi-3.5-MoE-instruct,1.0,54.93415892727219,1.8670923123138974,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-0.5B-Instruct,microsoft/Phi-3.5-mini-instruct,1.0,56.58970562465616,1.91243247543998,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-0.5B-Instruct,mistralai/Mistral-7B-Instruct-v0.1,1.0,53.43064418252489,1.7129027847427636,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-0.5B-Instruct,mistralai/Mistral-7B-Instruct-v0.2,1.0,46.938118137435275,1.4631220700692906,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-0.5B-Instruct,mistralai/Mistral-7B-Instruct-v0.3,1.0,50.40224191912371,1.6438863912859758,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-0.5B-Instruct,mistralai/Mixtral-8x7B-Instruct-v0.1,1.0,50.3875004620972,1.5962761377130552,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-0.5B-Instruct,nvidia/Llama3-ChatQA-1.5-8B,1.0,45.74962303317747,1.4164796169770857,0.007352941176470588,0.9926470588235294,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-0.5B-Instruct,openchat/openchat_3.5,1.0,54.725270907430556,1.8096013343695385,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-0.5B-Instruct,tiiuae/Falcon3-10B-Instruct,1.0,43.727226704404764,1.348327019239086,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-0.5B-Instruct,tiiuae/Falcon3-7B-Instruct,1.0,49.883511203359305,1.6159635406782267,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-0.5B-Instruct,togethercomputer/Llama-2-7B-32K-Instruct,1.0,65.42027660324221,2.280322203155132,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-0.5B-Instruct,upstage/SOLAR-10.7B-Instruct-v1.0,1.0,60.54727955926873,2.1467532507752147,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-0.5B-Instruct,utter-project/EuroLLM-1.7B-Instruct,1.0,53.12939248507057,1.8309193488056101,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-3B-Instruct,abacusai/Smaug-Llama-3-70B-Instruct,1.0,54.408972346334785,1.9205334300972057,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-3B-Instruct,claude-3-5-sonnet-20240620,1.0,72.92605342307473,3.1246937829950294,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-3B-Instruct,claude-3-haiku-20240307,1.0,65.55820890414364,2.864655297300463,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-3B-Instruct,claude-3-opus-20240229,1.0,70.04804528918794,2.8020565241909727,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-3B-Instruct,google/gemma-1.1-2b-it,1.0,66.92296460212422,2.6941871849618724,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-3B-Instruct,google/gemma-1.1-7b-it,1.0,71.46754988980368,3.1100992490180857,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-3B-Instruct,google/gemma-2-27b-it,1.0,71.53900935126458,2.9487972394982616,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-3B-Instruct,google/gemma-2-9b-it,1.0,72.15911150528034,2.7190806662445137,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-3B-Instruct,google/gemma-2b-it,1.0,77.08985484437525,3.051633462142912,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-3B-Instruct,google/gemma-7b-it,1.0,70.97672993467015,3.0573231793816538,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-3B-Instruct,gpt-3.5-turbo,1.0,58.660741523802244,2.157815926872181,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-3B-Instruct,gpt-4-turbo-2024-04-09,1.0,68.81216442337671,2.8001292210657733,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-3B-Instruct,gpt-4o-2024-05-13,1.0,53.29137309384264,2.0323554318080075,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-3B-Instruct,gradientai/Llama-3-8B-Instruct-Gradient-1048k,1.0,74.46577852693473,3.085077300756053,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-3B-Instruct,ibm-granite/granite-3.0-8b-instruct,1.0,67.95380263722963,2.3970363684244154,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-3B-Instruct,ibm-granite/granite-3.1-8b-instruct,1.0,58.41502840933957,2.1406661097325848,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-3B-Instruct,internlm/internlm2_5-7b-chat,1.0,56.986258228552146,2.214938632166121,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-3B-Instruct,meta-llama/Llama-2-7b-chat-hf,1.0,69.96252760256263,2.7964080359633887,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-3B-Instruct,meta-llama/Llama-3.2-1B-Instruct,1.0,61.36153546005384,2.2094327834190075,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-3B-Instruct,meta-llama/Llama-3.2-3B-Instruct,1.0,62.8478800624972,2.237686094408233,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-3B-Instruct,meta-llama/Meta-Llama-3-70B-Instruct,1.0,52.73456295988312,1.837392223696786,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-3B-Instruct,meta-llama/Meta-Llama-3-8B-Instruct,1.0,65.03940258963189,2.396067370820908,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-3B-Instruct,meta-llama/Meta-Llama-3.1-70B-Instruct,1.0,75.60375216472049,2.9921098313511694,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-3B-Instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,1.0,68.94590927415193,2.584888901725513,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-3B-Instruct,microsoft/Phi-3-medium-128k-instruct,1.0,76.23081174064117,3.1557372992841817,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-3B-Instruct,microsoft/Phi-3-medium-4k-instruct,1.0,74.608422340247,3.0881299296736793,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-3B-Instruct,microsoft/Phi-3-mini-128k-instruct,1.0,59.93509212493983,2.165341015221939,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-3B-Instruct,microsoft/Phi-3-mini-4k-instruct,1.0,60.81630474859513,2.2290648783647247,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-3B-Instruct,microsoft/Phi-3.5-MoE-instruct,1.0,62.21486922702714,2.474898836163449,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-3B-Instruct,microsoft/Phi-3.5-mini-instruct,1.0,69.34142041639737,2.740066125102149,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-3B-Instruct,mistralai/Mistral-7B-Instruct-v0.1,1.0,62.72236702817827,2.330899444090019,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-3B-Instruct,mistralai/Mistral-7B-Instruct-v0.2,1.0,59.48960894803616,2.140157415654921,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-3B-Instruct,mistralai/Mistral-7B-Instruct-v0.3,1.0,63.167233516768604,2.394833587219634,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-3B-Instruct,mistralai/Mixtral-8x7B-Instruct-v0.1,1.0,63.20956466240563,2.316921954012553,0.0,1.0,False,False,False,False,False,False,False,False,False
